35	82	
출발지	목적지	
1	2	14
1	7	24
2	3	16
2	1	14
3	4	7
3	2	16
3	8	6
3	18	10
3	21	8
4	3	7
4	5	15
5	6	17
5	4	15
6	7	17
6	5	17
7	6	17
7	1	24
8	3	6
8	9	7
8	10	5
9	11	8
9	8	7
10	8	5
10	12	6
11	9	8
11	15	5
12	10	6
12	14	9
13	14	6
13	15	4
14	12	9
14	13	6
15	11	5
15	13	4
15	16	7
15	17	5
16	15	7
16	17	6
17	15	5
17	16	6
18	3	10
18	19	10
19	18	10
19	20	5
20	19	5
20	21	6
21	20	6
21	3	8
3	22	3
1	22	3
6	28	3
6	23	3
23	24	10
23	25	10
23	26	7
23	31	8
23	32	10
24	23	10
24	29	5
24	30	4
24	31	10
24	32	5
25	23	10
25	32	3
26	23	7
26	27	11
26	33	11
26	35	11
27	26	11
27	28	5
27	34	3
28	27	5
29	24	5
30	24	4
31	23	8
31	24	10
32	23	10
32	24	5
32	25	3
33	26	11
34	27	3
35	26	11
